Freq.	V(n003)
3.54813389233575e+000	(-1.33473170747520e+001dB,-2.21981196415217e-001°)
3.63078054770101e+000	(-1.33473172626056e+001dB,-2.27151812278393e-001°)
3.71535229097172e+000	(-1.33473174593127e+001dB,-2.32442867941294e-001°)
3.80189396320560e+000	(-1.33473176652906e+001dB,-2.37857168856190e-001°)
3.89045144994280e+000	(-1.33473178809764e+001dB,-2.43397585826226e-001°)
3.98107170553496e+000	(-1.33473181068276e+001dB,-2.49067056527896e-001°)
4.07380277804112e+000	(-1.33473183433232e+001dB,-2.54868587068987e-001°)
4.16869383470335e+000	(-1.33473185909650e+001dB,-2.60805253582840e-001°)
4.26579518801592e+000	(-1.33473188502783e+001dB,-2.66880203859758e-001°)
4.36515832240165e+000	(-1.33473191218132e+001dB,-2.73096659016445e-001°)
4.46683592150962e+000	(-1.33473194061459e+001dB,-2.79457915204349e-001°)
4.57088189614874e+000	(-1.33473197038794e+001dB,-2.85967345357827e-001°)
4.67735141287197e+000	(-1.33473200156454e+001dB,-2.92628400983049e-001°)
4.78630092322637e+000	(-1.33473203421054e+001dB,-2.99444613988611e-001°)
4.89778819368445e+000	(-1.33473206839518e+001dB,-3.06419598558816e-001°)
5.01187233627271e+000	(-1.33473210419100e+001dB,-3.13557053070612e-001°)
5.12861383991364e+000	(-1.33473214167393e+001dB,-3.20860762055236e-001°)
5.24807460249771e+000	(-1.33473218092350e+001dB,-3.28334598205571e-001°)
5.37031796370252e+000	(-1.33473222202297e+001dB,-3.35982524430315e-001°)
5.49540873857623e+000	(-1.33473226505956e+001dB,-3.43808595956030e-001°)
5.62341325190348e+000	(-1.33473231012455e+001dB,-3.51816962478211e-001°)
5.75439937337156e+000	(-1.33473235731356e+001dB,-3.60011870362504e-001°)
5.88843655355588e+000	(-1.33473240672671e+001dB,-3.68397664897256e-001°)
6.02559586074356e+000	(-1.33473245846885e+001dB,-3.76978792598583e-001°)
6.16595001861481e+000	(-1.33473251264975e+001dB,-3.85759803569205e-001°)
6.30957344480192e+000	(-1.33473256938436e+001dB,-3.94745353912278e-001°)
6.45654229034654e+000	(-1.33473262879308e+001dB,-4.03940208201533e-001°)
6.60693448007594e+000	(-1.33473269100194e+001dB,-4.13349242009024e-001°)
6.76082975391980e+000	(-1.33473275614295e+001dB,-4.22977444491835e-001°)
6.91830970918935e+000	(-1.33473282435433e+001dB,-4.32829921039132e-001°)
7.07945784384136e+000	(-1.33473289578080e+001dB,-4.42911895980960e-001°)
7.24435960074988e+000	(-1.33473297057395e+001dB,-4.53228715360246e-001°)
7.41310241300916e+000	(-1.33473304889247e+001dB,-4.63785849769465e-001°)
7.58577575029182e+000	(-1.33473313090255e+001dB,-4.74588897253509e-001°)
7.76247116628690e+000	(-1.33473321677822e+001dB,-4.85643586280288e-001°)
7.94328234724279e+000	(-1.33473330670173e+001dB,-4.96955778780662e-001°)
8.12830516164097e+000	(-1.33473340086390e+001dB,-5.08531473259324e-001°)
8.31763771102669e+000	(-1.33473349946455e+001dB,-5.20376807978293e-001°)
8.51138038202374e+000	(-1.33473360271295e+001dB,-5.32498064214726e-001°)
8.70963589956078e+000	(-1.33473371082821e+001dB,-5.44901669594796e-001°)
8.91250938133743e+000	(-1.33473382403979e+001dB,-5.57594201505399e-001°)
9.12010839355907e+000	(-1.33473394258797e+001dB,-5.70582390585545e-001°)
9.33254300796988e+000	(-1.33473406672436e+001dB,-5.83873124299275e-001°)
9.54992586021433e+000	(-1.33473419671244e+001dB,-5.97473450592050e-001°)
9.77237220955808e+000	(-1.33473433282813e+001dB,-6.11390581632539e-001°)
9.99999999999997e+000	(-1.33473447536034e+001dB,-6.25631897641838e-001°)
1.02329299228075e+001	(-1.33473462461163e+001dB,-6.40204950812161e-001°)
1.04712854805090e+001	(-1.33473478089884e+001dB,-6.55117469317122e-001°)
1.07151930523760e+001	(-1.33473494455374e+001dB,-6.70377361415745e-001°)
1.09647819614318e+001	(-1.33473511592375e+001dB,-6.85992719652421e-001°)
1.12201845430196e+001	(-1.33473529537271e+001dB,-7.01971825155070e-001°)
1.14815362149688e+001	(-1.33473548328161e+001dB,-7.18323152033821e-001°)
1.17489755493953e+001	(-1.33473568004941e+001dB,-7.35055371882570e-001°)
1.20226443461741e+001	(-1.33473588609393e+001dB,-7.52177358385872e-001°)
1.23026877081238e+001	(-1.33473610185267e+001dB,-7.69698192033612e-001°)
1.25892541179416e+001	(-1.33473632778380e+001dB,-7.87627164946046e-001°)
1.28824955169313e+001	(-1.33473656436713e+001dB,-8.05973785811770e-001°)
1.31825673855640e+001	(-1.33473681210510e+001dB,-8.24747784941345e-001°)
1.34896288259165e+001	(-1.33473707152388e+001dB,-8.43959119439263e-001°)
1.38038426460288e+001	(-1.33473734317446e+001dB,-8.63617978497090e-001°)
1.41253754462275e+001	(-1.33473762763389e+001dB,-8.83734788810647e-001°)
1.44543977074592e+001	(-1.33473792550642e+001dB,-9.04320220124167e-001°)
1.47910838816820e+001	(-1.33473823742488e+001dB,-9.25385190904462e-001°)
1.51356124843620e+001	(-1.33473856405197e+001dB,-9.46940874148155e-001°)
1.54881661891248e+001	(-1.33473890608168e+001dB,-9.68998703325181e-001°)
1.58489319246111e+001	(-1.33473926424080e+001dB,-9.91570378461780e-001°)
1.62181009735892e+001	(-1.33473963929046e+001dB,-1.01466787236630e+000°)
1.65958690743755e+001	(-1.33474003202774e+001dB,-1.03830343700123e+000°)
1.69824365246174e+001	(-1.33474044328742e+001dB,-1.06248961000496e+000°)
1.73780082874937e+001	(-1.33474087394368e+001dB,-1.08723922136685e+000°)
1.77827941003892e+001	(-1.33474132491209e+001dB,-1.11256540025922e+000°)
1.81970085860998e+001	(-1.33474179715144e+001dB,-1.13848158203016e+000°)
1.86208713666286e+001	(-1.33474229166589e+001dB,-1.16500151536081e+000°)
1.90546071796324e+001	(-1.33474280950709e+001dB,-1.19213926959129e+000°)
1.94984459975804e+001	(-1.33474335177641e+001dB,-1.21990924221923e+000°)
1.99526231496887e+001	(-1.33474391962735e+001dB,-1.24832616657495e+000°)
2.04173794466952e+001	(-1.33474451426795e+001dB,-1.27740511967779e+000°)
2.08929613085403e+001	(-1.33474513696345e+001dB,-1.30716153027782e+000°)
2.13796208950222e+001	(-1.33474578903896e+001dB,-1.33761118708740e+000°)
2.18776162394954e+001	(-1.33474647188233e+001dB,-1.36877024720731e+000°)
2.23872113856833e+001	(-1.33474718694712e+001dB,-1.40065524475207e+000°)
2.29086765276776e+001	(-1.33474793575575e+001dB,-1.43328309967936e+000°)
2.34422881531991e+001	(-1.33474871990274e+001dB,-1.46667112682852e+000°)
2.39883291901948e+001	(-1.33474954105818e+001dB,-1.50083704517323e+000°)
2.45470891568502e+001	(-1.33475040097131e+001dB,-1.53579898729360e+000°)
2.51188643150957e+001	(-1.33475130147431e+001dB,-1.57157550907308e+000°)
2.57039578276885e+001	(-1.33475224448624e+001dB,-1.60818559962580e+000°)
2.63026799189537e+001	(-1.33475323201718e+001dB,-1.64564869145982e+000°)
2.69153480392690e+001	(-1.33475426617261e+001dB,-1.68398467088239e+000°)
2.75422870333815e+001	(-1.33475534915795e+001dB,-1.72321388865302e+000°)
2.81838293126444e+001	(-1.33475648328330e+001dB,-1.76335717089065e+000°)
2.88403150312659e+001	(-1.33475767096853e+001dB,-1.80443583024114e+000°)
2.95120922666637e+001	(-1.33475891474847e+001dB,-1.84647167731180e+000°)
3.01995172040200e+001	(-1.33476021727844e+001dB,-1.88948703237937e+000°)
3.09029543251358e+001	(-1.33476158134001e+001dB,-1.93350473737864e+000°)
3.16227766016837e+001	(-1.33476300984711e+001dB,-1.97854816817860e+000°)
3.23593656929627e+001	(-1.33476450585233e+001dB,-2.02464124715345e+000°)
3.31131121482590e+001	(-1.33476607255360e+001dB,-2.07180845605611e+000°)
3.38844156139201e+001	(-1.33476771330120e+001dB,-2.12007484920168e+000°)
3.46736850452530e+001	(-1.33476943160510e+001dB,-2.16946606696917e+000°)
3.54813389233574e+001	(-1.33477123114261e+001dB,-2.22000834962935e+000°)
3.63078054770100e+001	(-1.33477311576652e+001dB,-2.27172855150733e+000°)
3.71535229097171e+001	(-1.33477508951354e+001dB,-2.32465415548865e+000°)
3.80189396320559e+001	(-1.33477715661319e+001dB,-2.37881328787756e+000°)
3.89045144994279e+001	(-1.33477932149716e+001dB,-2.43423473361703e+000°)
3.98107170553495e+001	(-1.33478158880909e+001dB,-2.49094795187987e+000°)
4.07380277804111e+001	(-1.33478396341486e+001dB,-2.54898309204075e+000°)
4.16869383470333e+001	(-1.33478645041342e+001dB,-2.60837101003938e+000°)
4.26579518801591e+001	(-1.33478905514808e+001dB,-2.66914328514520e+000°)
4.36515832240164e+001	(-1.33479178321848e+001dB,-2.73133223713448e+000°)
4.46683592150961e+001	(-1.33479464049305e+001dB,-2.79497094389095e+000°)
4.57088189614873e+001	(-1.33479763312219e+001dB,-2.86009325944146e+000°)
4.67735141287196e+001	(-1.33480076755205e+001dB,-2.92673383243865e+000°)
4.78630092322636e+001	(-1.33480405053908e+001dB,-2.99492812510294e+000°)
4.89778819368444e+001	(-1.33480748916522e+001dB,-3.06471243263650e+000°)
5.01187233627270e+001	(-1.33481109085397e+001dB,-3.13612390312252e+000°)
5.12861383991362e+001	(-1.33481486338722e+001dB,-3.20920055792338e+000°)
5.24807460249770e+001	(-1.33481881492298e+001dB,-3.28398131259175e+000°)
5.37031796370250e+001	(-1.33482295401398e+001dB,-3.36050599830941e+000°)
5.49540873857622e+001	(-1.33482728962730e+001dB,-3.43881538386888e+000°)
5.62341325190346e+001	(-1.33483183116494e+001dB,-3.51895119821363e+000°)
5.75439937337154e+001	(-1.33483658848554e+001dB,-3.60095615355306e+000°)
5.88843655355586e+001	(-1.33484157192723e+001dB,-3.68487396906937e+000°)
6.02559586074355e+001	(-1.33484679233158e+001dB,-3.77074939523370e+000°)
6.16595001861479e+001	(-1.33485226106899e+001dB,-3.85862823874989e+000°)
6.30957344480190e+001	(-1.33485799006524e+001dB,-3.94855738814481e+000°)
6.45654229034652e+001	(-1.33486399182965e+001dB,-4.04058484002480e+000°)
6.60693448007593e+001	(-1.33487027948458e+001dB,-4.13475972601897e+000°)
6.76082975391978e+001	(-1.33487686679662e+001dB,-4.23113234043044e+000°)
6.91830970918933e+001	(-1.33488376820942e+001dB,-4.32975416861770e+000°)
7.07945784384134e+001	(-1.33489099887837e+001dB,-4.43067791612944e+000°)
7.24435960074986e+001	(-1.33489857470710e+001dB,-4.53395753861641e+000°)
7.41310241300914e+001	(-1.33490651238602e+001dB,-4.63964827254594e+000°)
7.58577575029180e+001	(-1.33491482943305e+001dB,-4.74780666674481e+000°)
7.76247116628688e+001	(-1.33492354423649e+001dB,-4.85849061479783e+000°)
7.94328234724277e+001	(-1.33493267610045e+001dB,-4.97175938833090e+000°)
8.12830516164095e+001	(-1.33494224529267e+001dB,-5.08767367120761e+000°)
8.31763771102667e+001	(-1.33495227309521e+001dB,-5.20629559467110e+000°)
8.51138038202372e+001	(-1.33496278185794e+001dB,-5.32768877346304e+000°)
8.70963589956076e+001	(-1.33497379505510e+001dB,-5.45191834295395e+000°)
8.91250938133741e+001	(-1.33498533734516e+001dB,-5.57905099732021e+000°)
9.12010839355905e+001	(-1.33499743463418e+001dB,-5.70915502880484e+000°)
9.33254300796986e+001	(-1.33501011414283e+001dB,-5.84230036810074e+000°)
9.54992586021431e+001	(-1.33502340447742e+001dB,-5.97855862589751e+000°)
9.77237220955805e+001	(-1.33503733570510e+001dB,-6.11800313563378e+000°)
9.99999999999995e+001	(-1.33505193943361e+001dB,-6.26070899750039e+000°)
1.02329299228075e+002	(-1.33506724889580e+001dB,-6.40675312374063e+000°)
1.04712854805089e+002	(-1.33508329903933e+001dB,-6.55621428529713e+000°)
1.07151930523760e+002	(-1.33510012662183e+001dB,-6.70917315985672e+000°)
1.09647819614318e+002	(-1.33511777031192e+001dB,-6.86571238134727e+000°)
1.12201845430196e+002	(-1.33513627079655e+001dB,-7.02591659094346e+000°)
1.14815362149688e+002	(-1.33515567089506e+001dB,-7.18987248964117e+000°)
1.17489755493952e+002	(-1.33517601568040e+001dB,-7.35766889246299e+000°)
1.20226443461741e+002	(-1.33519735260812e+001dB,-7.52939678436092e+000°)
1.23026877081237e+002	(-1.33521973165363e+001dB,-7.70514937788549e+000°)
1.25892541179416e+002	(-1.33524320545833e+001dB,-7.88502217269396e+000°)
1.28824955169313e+002	(-1.33526782948528e+001dB,-8.06911301697456e+000°)
1.31825673855640e+002	(-1.33529366218509e+001dB,-8.25752217086698e+000°)
1.34896288259165e+002	(-1.33532076517286e+001dB,-8.45035237196433e+000°)
1.38038426460288e+002	(-1.33534920341690e+001dB,-8.64770890298541e+000°)
1.41253754462275e+002	(-1.33537904544020e+001dB,-8.84969966171153e+000°)
1.44543977074592e+002	(-1.33541036353560e+001dB,-9.05643523328674e+000°)
1.47910838816820e+002	(-1.33544323399572e+001dB,-9.26802896498543e+000°)
1.51356124843620e+002	(-1.33547773735869e+001dB,-9.48459704355711e+000°)
1.54881661891247e+002	(-1.33551395867118e+001dB,-9.70625857526354e+000°)
1.58489319246110e+002	(-1.33555198776970e+001dB,-9.93313566873010e+000°)
1.62181009735892e+002	(-1.33559191958199e+001dB,-1.01653535207387e+001°)
1.65958690743755e+002	(-1.33563385444987e+001dB,-1.04030405050973e+001°)
1.69824365246173e+002	(-1.33567789847526e+001dB,-1.06463282647283e+001°)
1.73780082874936e+002	(-1.33572416389145e+001dB,-1.08953518071226e+001°)
1.77827941003891e+002	(-1.33577276946140e+001dB,-1.11502496033200e+001°)
1.81970085860997e+002	(-1.33582384090542e+001dB,-1.14111636905768e+001°)
1.86208713666286e+002	(-1.33587751136070e+001dB,-1.16782397788975e+001°)
1.90546071796323e+002	(-1.33593392187510e+001dB,-1.19516273616099e+001°)
1.94984459975803e+002	(-1.33599322193828e+001dB,-1.22314798301784e+001°)
1.99526231496887e+002	(-1.33605557005317e+001dB,-1.25179545934523e+001°)
2.04173794466952e+002	(-1.33612113435112e+001dB,-1.28112132015647e+001°)
2.08929613085403e+002	(-1.33619009325456e+001dB,-1.31114214746986e+001°)
2.13796208950222e+002	(-1.33626263619102e+001dB,-1.34187496369552e+001°)
2.18776162394954e+002	(-1.33633896436301e+001dB,-1.37333724555646e+001°)
2.23872113856832e+002	(-1.33641929157852e+001dB,-1.40554693856930e+001°)
2.29086765276776e+002	(-1.33650384514730e+001dB,-1.43852247211117e+001°)
2.34422881531991e+002	(-1.33659286684858e+001dB,-1.47228277510010e+001°)
2.39883291901947e+002	(-1.33668661397656e+001dB,-1.50684729231799e+001°)
2.45470891568501e+002	(-1.33678536047025e+001dB,-1.54223600140564e+001°)
2.51188643150956e+002	(-1.33688939813515e+001dB,-1.57846943056096e+001°)
2.57039578276885e+002	(-1.33699903796478e+001dB,-1.61556867697242e+001°)
2.63026799189536e+002	(-1.33711461157077e+001dB,-1.65355542602053e+001°)
2.69153480392690e+002	(-1.33723647273126e+001dB,-1.69245197128171e+001°)
2.75422870333815e+002	(-1.33736499906786e+001dB,-1.73228123536903e+001°)
2.81838293126443e+002	(-1.33750059386272e+001dB,-1.77306679164575e+001°)
2.88403150312659e+002	(-1.33764368802808e+001dB,-1.81483288684760e+001°)
2.95120922666637e+002	(-1.33779474224192e+001dB,-1.85760446465060e+001°)
3.01995172040200e+002	(-1.33795424926460e+001dB,-1.90140719022096e+001°)
3.09029543251357e+002	(-1.33812273645252e+001dB,-1.94626747578395e+001°)
3.16227766016836e+002	(-1.33830076848657e+001dB,-1.99221250724758e+001°)
3.23593656929626e+002	(-1.33848895033462e+001dB,-2.03927027191664e+001°)
3.31131121482589e+002	(-1.33868793046895e+001dB,-2.08746958733074e+001°)
3.38844156139200e+002	(-1.33889840436166e+001dB,-2.13684013125821e+001°)
3.46736850452529e+002	(-1.33912111828290e+001dB,-2.18741247287513e+001°)
3.54813389233573e+002	(-1.33935687342913e+001dB,-2.23921810515489e+001°)
3.63078054770099e+002	(-1.33960653041105e+001dB,-2.29228947848940e+001°)
3.71535229097170e+002	(-1.33987101413349e+001dB,-2.34666003555737e+001°)
3.80189396320558e+002	(-1.34015131910216e+001dB,-2.40236424744782e+001°)
3.89045144994278e+002	(-1.34044851519557e+001dB,-2.45943765103872e+001°)
3.98107170553494e+002	(-1.34076375394344e+001dB,-2.51791688762000e+001°)
4.07380277804110e+002	(-1.34109827535667e+001dB,-2.57783974273771e+001°)
4.16869383470332e+002	(-1.34145341535749e+001dB,-2.63924518722123e+001°)
4.26579518801589e+002	(-1.34183061386276e+001dB,-2.70217341933751e+001°)
4.36515832240163e+002	(-1.34223142357752e+001dB,-2.76666590799551e+001°)
4.46683592150960e+002	(-1.34265751956054e+001dB,-2.83276543689911e+001°)
4.57088189614872e+002	(-1.34311070962850e+001dB,-2.90051614951791e+001°)
4.67735141287195e+002	(-1.34359294567056e+001dB,-2.96996359471151e+001°)
4.78630092322635e+002	(-1.34410633595020e+001dB,-3.04115477280323e+001°)
4.89778819368443e+002	(-1.34465315847725e+001dB,-3.11413818185408e+001°)
5.01187233627268e+002	(-1.34523587553804e+001dB,-3.18896386383419e+001°)
5.12861383991361e+002	(-1.34585714947801e+001dB,-3.26568345032877e+001°)
5.24807460249769e+002	(-1.34651985983656e+001dB,-3.34435020734480e+001°)
5.37031796370249e+002	(-1.34722712193973e+001dB,-3.42501907870501e+001°)
5.49540873857620e+002	(-1.34798230706187e+001dB,-3.50774672742345e+001°)
5.62341325190345e+002	(-1.34878906427241e+001dB,-3.59259157435244e+001°)
5.75439937337152e+002	(-1.34965134408862e+001dB,-3.67961383327211e+001°)
5.88843655355584e+002	(-1.35057342405846e+001dB,-3.76887554145887e+001°)
6.02559586074353e+002	(-1.35155993640060e+001dB,-3.86044058461814e+001°)
6.16595001861477e+002	(-1.35261589782918e+001dB,-3.95437471489590e+001°)
6.30957344480188e+002	(-1.35374674169000e+001dB,-4.05074556049374e+001°)
6.45654229034650e+002	(-1.35495835253090e+001dB,-4.14962262520019e+001°)
6.60693448007591e+002	(-1.35625710322244e+001dB,-4.25107727591681e+001°)
6.76082975391976e+002	(-1.35764989473357e+001dB,-4.35518271600032e+001°)
6.91830970918931e+002	(-1.35914419865155e+001dB,-4.46201394196031e+001°)
7.07945784384132e+002	(-1.36074810251298e+001dB,-4.57164768074820e+001°)
7.24435960074984e+002	(-1.36247035798420e+001dB,-4.68416230454625e+001°)
7.41310241300911e+002	(-1.36432043189152e+001dB,-4.79963771961968e+001°)
7.58577575029177e+002	(-1.36630856005408e+001dB,-4.91815522543331e+001°)
7.76247116628685e+002	(-1.36844580381330e+001dB,-5.03979733986303e+001°)
7.94328234724275e+002	(-1.37074410907980e+001dB,-5.16464758595996e+001°)
8.12830516164092e+002	(-1.37321636763114e+001dB,-5.29279023536281e+001°)
8.31763771102664e+002	(-1.37587648028849e+001dB,-5.42431000311601e+001°)
8.51138038202369e+002	(-1.37873942147661e+001dB,-5.55929168835753e+001°)
8.70963589956073e+002	(-1.38182130452659e+001dB,-5.69781975511329e+001°)
8.91250938133738e+002	(-1.38513944691495e+001dB,-5.83997784730464e+001°)
9.12010839355902e+002	(-1.38871243444303e+001dB,-5.98584823207597e+001°)
9.33254300796983e+002	(-1.39256018314928e+001dB,-6.13551116572175e+001°)
9.54992586021428e+002	(-1.39670399751391e+001dB,-6.28904417688314e+001°)
9.77237220955802e+002	(-1.40116662326291e+001dB,-6.44652126234614e+001°)
9.99999999999991e+002	(-1.40597229281257e+001dB,-6.60801199176314e+001°)
1.02329299228075e+003	(-1.41114676112114e+001dB,-6.77358051899623e+001°)
1.04712854805089e+003	(-1.41671732944223e+001dB,-6.94328449960344e+001°)
1.07151930523760e+003	(-1.42271285421748e+001dB,-7.11717391631174e+001°)
1.09647819614318e+003	(-1.42916373811915e+001dB,-7.29528981718732e+001°)
1.12201845430195e+003	(-1.43610190007804e+001dB,-7.47766297465065e+001°)
1.14815362149687e+003	(-1.44356072103065e+001dB,-7.66431247749209e+001°)
1.17489755493952e+003	(-1.45157496211925e+001dB,-7.85524427258888e+001°)
1.20226443461740e+003	(-1.46018065220685e+001dB,-8.05044967802578e+001°)
1.23026877081237e+003	(-1.46941494185704e+001dB,-8.24990389464529e+001°)
1.25892541179416e+003	(-1.47931592140151e+001dB,-8.45356454849948e+001°)
1.28824955169312e+003	(-1.48992240140036e+001dB,-8.66137030198001e+001°)
1.31825673855640e+003	(-1.50127365470688e+001dB,-8.87323957622961e+001°)
1.34896288259164e+003	(-1.51340912048144e+001dB,-9.08906943139600e+001°)
1.38038426460287e+003	(-1.52636807184730e+001dB,-9.30873465393996e+001°)
1.41253754462274e+003	(-1.54018925041234e+001dB,-9.53208710110193e+001°)
1.44543977074591e+003	(-1.55491047254057e+001dB,-9.75895535133393e+001°)
1.47910838816819e+003	(-1.57056821397210e+001dB,-9.98914470565453e+001°)
1.51356124843619e+003	(-1.58719718106113e+001dB,-1.02224375782381e+002°)
1.54881661891247e+003	(-1.60482987841680e+001dB,-1.04585943050334e+002°)
1.58489319246110e+003	(-1.62349618396964e+001dB,-1.06973543869635e+002°)
1.62181009735891e+003	(-1.64322294332495e+001dB,-1.09384381696728e+002°)
1.65958690743754e+003	(-1.66403359559762e+001dB,-1.11815489454946e+002°)
1.69824365246173e+003	(-1.68594784266990e+001dB,-1.14263754461844e+002°)
1.73780082874936e+003	(-1.70898137293035e+001dB,-1.16725946780217e+002°)
1.77827941003891e+003	(-1.73314564904549e+001dB,-1.19198750352801e+002°)
1.81970085860997e+003	(-1.75844776723974e+001dB,-1.21678796148942e+002°)
1.86208713666285e+003	(-1.78489039302255e+001dB,-1.24162696454200e+002°)
1.90546071796323e+003	(-1.81247177545233e+001dB,-1.26647079378469e+002°)
1.94984459975803e+003	(-1.84118583904617e+001dB,-1.29128622649113e+002°)
1.99526231496886e+003	(-1.87102234952285e+001dB,-1.31604085793593e+002°)
2.04173794466951e+003	(-1.90196714689307e+001dB,-1.34070339898082e+002°)
2.08929613085402e+003	(-1.93400243714589e+001dB,-1.36524394247984e+002°)
2.13796208950221e+003	(-1.96710713204964e+001dB,-1.38963419304206e+002°)
2.18776162394953e+003	(-2.00125722546363e+001dB,-1.41384765634338e+002°)
2.23872113856832e+003	(-2.03642619406876e+001dB,-1.43785978589493e+002°)
2.29086765276775e+003	(-2.07258541054377e+001dB,-1.46164808684343e+002°)
2.34422881531990e+003	(-2.10970455787264e+001dB,-1.48519217790756e+002°)
2.39883291901947e+003	(-2.14775203456767e+001dB,-1.50847381386835e+002°)
2.45470891568501e+003	(-2.18669534201590e+001dB,-1.53147687208560e+002°)
2.51188643150955e+003	(-2.22650144677972e+001dB,-1.55418730728114e+002°)
2.57039578276884e+003	(-2.26713711238993e+001dB,-1.57659307931425e+002°)
2.63026799189535e+003	(-2.30856919685552e+001dB,-1.59868405889287e+002°)
2.69153480392689e+003	(-2.35076491369740e+001dB,-1.62045191614900e+002°)
2.75422870333814e+003	(-2.39369205572912e+001dB,-1.64188999679922e+002°)
2.81838293126442e+003	(-2.43731918201867e+001dB,-1.66299319025616e+002°)
2.88403150312658e+003	(-2.48161576945055e+001dB,-1.68375779359908e+002°)
2.95120922666635e+003	(-2.52655233106566e+001dB,-1.70418137479270e+002°)
3.01995172040198e+003	(-2.57210050389837e+001dB,-1.72426263799824e+002°)
